colour,fabric_care,fabric,bottom_fabric,inner_fabric,dupatta_fabric,blouse_fabric,pattern,sleeve,occasion,size,type,celebrity,salwar_style,salwar_kameez_style,style,collection
Black,Dry Clean Only,60gm Georgette,AMERICAN,AMERICAN,Butter,Banarasi,Aari Work,3/4 Sleeve,Bridal,Double,Anarkali Suit,Aamana Sharif,,,,
Blue,Hand Wash,60gm Schiffli,Banarasi,Banarasi,Cambric,Bhagalpuri,Bandhej Print,Full Sleeve,Casual,Extra Large,Birthday,Aishwarya Rai,,,,
Brown,,American,Georgette,Brocade,Chiffon,Brasso,Beads,Half Sleeve,Ceremonial,Free Size,Bollywood,Alia Bhatt,,,,
Cream,,Art Silk,Net,Butter,Cotton,Brocade,Diamond Work,Short Sleeve,Festival,Medium,Bollywood Anarkali Suits,Amisha Patel,,,,
Cyan,,Banarasi,Cotton,Cotton,Faux Georgette,Chiffon,Embroidered,,Party,Single,Bollywood Lehenga Choli,Anushka Sharma,,,,
Gold,,Bemberg,Crape,Crape,Georgette,Cotton,Hand Work,,Reception,Small,Bollywood Saree,Anushka Shetty,,,,
Gray,,Bemberg,Santoon,Dhupian,Nazneen,Crepe,Kalkatti work,,Wedding,,Candle Holder,Asin,,,,
Green,,Bhagalpuri,FT Fabric,FT Fabric,Net,Dhupian,Karachi Work,,,,Container,Ayesha takiya,,,,
Maroon,,Bhagalpuri Silk,Faux Georgette,Faux Georgette,Nylon,Faux Georgette,Karachi Work,,,,Daily-use,Bhagyashree Patwardhan,,,,
Multi Color,,Brasso,Satin,Raw silk,Raw Silk,Georgette,Kasab work,,,,Decorative,Bipasha Basu,,,,
Orange,,Brocade,Semi Cotton,Santoon,Silk,Jacquard,Khatli Work,,,,Dress Material,Celina Jaitley,,,,
Peach,,Cambric,Semi Leon,Satin,,Linen,Lace Work,,,,Festival,Daisy Shah,,,,
Pink,,Chanderi,Semi Santoon,Silk,,Moss,Mirror Work,,,,Floating,Deepika Padukone,,,,
Purple,,Chiffon,Silk,,,Net,Moti Work,,,,Gown,Dia Mirza,,,,
Red,,Cotton,Velvet,,,Pure Georgette,Multi Work,,,,Kurti,Divyanka Tripathi,,,,
Silver,,Crepe,,,,Raw Silk,Patch Work,,,,Lehenga Suits,Esha Deol,,,,
White,,Dhupian,,,,Santoon,Print,,,,Luminaria,Esha Gupta,,,,
Yellow,,Fancy Fabric,,,,Silk,Resham Work,,,,Party,Gauhar Khan,,,,
,,Faux Georgette    ,,,,Silk,Sequence Work,,,,Salwar Suit,Gul Panag,,,,
,,Georgette,,,,Velvet,Stone Work,,,,Saree,Hema Malini,,,,
,,Imported,,,,Viscose,Thread Work,,,,Semi Stitched Anarkali suit,Huma Qureshi,,,,
,,Jacquard,,,,,Zardosi Work,,,,Shirts Tops,Ishita Sharma,,,,
,,Kalkatti Work,,,,,Zari Work,,,,Straight,Jacqueline Fernandez,,,,
,,Laycra,,,,,,,,,Western Dress,Jennifer Lopez,,,,
,,Linen,,,,,,,,,,Juhi Chawla,,,,
,,Moss,,,,,,,,,,Kajal Agrawal,,,,
,,Nazneen,,,,,,,,,,Kajol,,,,
,,Net,,,,,,,,,,Kangana Ranaut,,,,
,,Pakistani Lawn,,,,,,,,,,Kareena Kapoor,,,,
,,Pure Chiffon,,,,,,,,,,Karishma Kapoor,,,,
,,Pure Georgette,,,,,,,,,,Katrina Kaif,,,,
,,Raw Silk,,,,,,,,,,Kristina Akheeva,,,,
,,Russell Net,,,,,,,,,,Lara Dutta,,,,
,,Santoon,,,,,,,,,,Madhuri Dixit,,,,
,,Satin,,,,,,,,,,Mahima Chaudhary,,,,
,,Schiffli,,,,,,,,,,Malaika Arora,,,,
,,Silk,,,,,,,,,,Manasi Scott,,,,
,,Soft Net,,,,,,,,,,Mandira Bedi,,,,
,,Super Net,,,,,,,,,,Meenakshi Dixit,,,,
,,Tissue,,,,,,,,,,Monika Soni,,,,
,,Velvet,,,,,,,,,,Nargis Fakhri,,,,
,,Viscose,,,,,,,,,,Neetu Chandra,,,,
,,Weightless,,,,,,,,,,Neha Dhupia,,,,
,,,,,,,,,,,,Neha Sharma,,,,
,,,,,,,,,,,,Nikesha Patel,,,,
,,,,,,,,,,,,Nita Mital,,,,
,,,,,,,,,,,,Parineeti Chopra,,,,
,,,,,,,,,,,,Prachi Desai,,,,
,,,,,,,,,,,,Preity Zinta,,,,
,,,,,,,,,,,,Priyanka Chopra,,,,
,,,,,,,,,,,,Rani Mukherjee,,,,
,,,,,,,,,,,,Rashmi Desai,,,,
,,,,,,,,,,,,Raveena Tandon,,,,
,,,,,,,,,,,,Samantha,,,,
,,,,,,,,,,,,Sangeeta Ghosh,,,,
,,,,,,,,,,,,Shilpa Shetty,,,,
,,,,,,,,,,,,Shraddha Das,,,,
,,,,,,,,,,,,Shraddha Kapoor,,,,
,,,,,,,,,,,,Shriya Saran,,,,
,,,,,,,,,,,,Shweta Tiwari,,,,
,,,,,,,,,,,,Sonakshi Sinha,,,,
,,,,,,,,,,,,Sonali Bendre,,,,
,,,,,,,,,,,,Sonam Kapoor,,,,
,,,,,,,,,,,,Sophie Choudry,,,,
,,,,,,,,,,,,Sridevi,,,,
,,,,,,,,,,,,Sunny Leone,,,,
,,,,,,,,,,,,Sushmita Sen,,,,
,,,,,,,,,,,,Tabu,,,,
,,,,,,,,,,,,Tamannaah Bhatia,,,,
,,,,,,,,,,,,Urmila Matondkar,,,,
,,,,,,,,,,,,Vaani Kapoor,,,,
,,,,,,,,,,,,Vidya Balan,,,,
,,,,,,,,,,,,Vidya Malvade,,,,
,,,,,,,,,,,,Yami Gautam,,,,
,,,,,,,,,,,,Zarine Khan,,,,
